name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
Globe University,0.0,60.0,18.536585,18.536585,0.0,2.9268293,0.0,0.0,31100.0
Gogebic Community College,3.2258067,19.354839,17.204302,2.1505377,17.741936,15.053763,8.6021509,16.666668,26700.0
Goldey-Beacom College,11.637931,88.362068,0.0,0.0,0.0,0.0,0.0,0.0,43900.0
Gonzaga University,20.538721,23.063972,0.33670035,12.121212,32.996632,2.6936028,8.2491579,0.0,52800.0
Goodwin College,16.083916,18.181818,20.979021,41.724941,0.0,0.0,0.0,3.030303,25800.0
Gordon College,9.7643099,5.3872056,0.0,19.52862,41.750843,18.518518,5.0505052,0.0,41600.0
Gordon State College,0.30959752,2.7863777,13.931889,0.0,0.0,0.0,82.352943,0.61919504,29900.0
Goshen College,15.178572,26.785715,8.9285717,16.964287,23.214287,4.0178571,4.9107141,0.0,36300.0
Goucher College,14.049586,8.6776857,0.0,25.206612,47.933884,0.0,4.1322312,0.0,45500.0
Grace College And Theological Seminary,6.818182,21.022728,0.0,11.931818,32.386364,24.431818,3.409091,0.0,33200.0
Graceland University,3.7610619,18.141592,34.513275,6.1946902,21.238937,4.2035398,11.946903,0.0,36600.0
Grambling State University,22.193878,17.729591,8.6734695,2.9336736,20.280613,18.494898,8.4183674,1.2755102,28300.0
Grand Canyon University,18.181818,27.823692,15.151515,4.6831956,24.242424,3.3057852,6.6115704,0.0,45200.0
Grand Rapids Community College,12.422908,15.770926,19.735683,2.2907488,11.277534,8.8105726,22.378855,7.3127751,28200.0
Grand Valley State University,12.828133,17.236256,17.830608,13.719663,24.071323,9.3115406,5.0024767,0.0,39100.0
Grand View University,7.0833335,17.916666,24.583334,13.75,26.25,6.6666665,3.75,0.0,39200.0
Grays Harbor College,4.7120419,14.921466,9.4240837,0.0,0.0,11.780105,44.502621,14.659686,26100.0
Grayson  County College,24.155405,14.358109,22.635136,1.3513514,5.2364864,2.195946,15.202703,14.864864,32200.0
Great Basin College,11.111111,8.1871347,7.6023393,0.0,0.0,1.7543859,59.64912,11.695906,32000.0
Great Falls College Montana State University,11.111112,22.916668,61.111111,1.3888888,0.69444442,0.0,0.0,2.7777777,26600.0
Great Lakes Institute Of Technology,0.0,4.3103447,49.137932,0.0,0.0,0.0,0.0,46.551723,20200.0
Green Mountain College,10.256411,12.820513,7.6923075,17.094017,20.512821,0.0,31.62393,0.0,30600.0
Green River Community College,9.090909,16.295025,7.0325899,0.0,0.0,2.0583191,54.802746,10.720411,36600.0
Greenfield Community College,3.9506173,15.308642,14.814815,8.8888893,3.9506173,5.9259257,40.0,7.1604939,27100.0
Greensboro College,14.659685,28.795811,0.0,16.230366,29.842932,0.0,10.471204,0.0,35100.0
Greenville College,6.4516129,45.519714,0.0,10.394265,30.46595,3.5842295,3.5842295,0.0,37700.0
Greenville Technical College,8.333334,17.291668,29.166666,0.069444448,0.0,6.7361112,10.972222,27.430555,28700.0
Grinnell College,27.692308,0.0,0.0,31.076923,38.46154,0.0,2.7692308,0.0,45600.0
Grossmont-Cuyamaca Community College District,9.8895321,28.511311,11.152025,5.5234089,0.99947399,5.6286168,34.771172,3.5244608,30526.717
Guilford College,11.182109,19.808308,0.0,20.766773,28.434504,10.543131,9.2651758,0.0,38500.0
Guilford Technical Community College,6.8085108,29.361702,23.404255,7.9432626,0.0,5.1063828,12.482269,14.893617,28800.0
Gulf Coast State College,0.67264575,4.5964127,18.273542,0.0,0.0,29.484304,45.179371,1.7937219,29900.0
Gustavus Adolphus College,21.671387,12.181303,2.6912181,22.804533,30.169971,3.3994334,7.0821528,0.0,50100.0
Gwinnett Technical College,4.8961425,41.988132,34.718102,2.8189912,0.0,0.0,0.0,15.578635,33600.0
Gwynedd Mercy University,8.3916082,13.986014,53.846153,2.4475524,19.930071,0.0,1.3986014,0.0,52000.0
H. Councill Trenholm State Technical College,4.9242425,26.89394,58.333332,0.0,0.0,0.0,0.0,9.848485,21000.0
Hagerstown Community College,4.5592704,33.43465,14.285714,0.0,3.3434651,9.1185417,35.258358,0.0,31800.0
Hair Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16900.0
Halifax Community College,4.5901642,22.622952,13.114754,2.6229508,5.5737705,7.8688526,5.9016395,37.704918,21500.0
Hallmark College Of Technology,32.830189,16.603773,0.0,0.0,0.0,0.0,0.0,50.566036,34400.0
Hamilton College,22.323463,0.0,0.0,27.334852,45.785877,0.0,4.5558085,0.0,57300.0
Hamline University,13.164557,10.632912,0.0,18.481012,41.518986,9.3670883,6.835443,0.0,46900.0
Hampden Sydney College,15.789474,0.0,0.0,10.526316,71.578941,0.0,2.1052632,0.0,50200.0
Hampshire College,17.786562,1.1857708,0.0,51.3834,23.320158,0.0,6.3241105,0.0,30800.0
Hampton University,22.132097,22.827347,9.9652376,6.7207413,25.608343,3.7079954,5.7937431,3.2444959,42200.0
Hannibal - Lagrange University,2.6315789,21.710526,14.473684,1.9736842,32.236843,18.421053,8.5526314,0.0,33900.0
Hanover College,22.222223,20.289856,0.0,13.043478,42.995171,1.4492754,0.0,0.0,44400.0
Harcum College,5.4726367,13.930348,69.154228,4.477612,0.0,0.0,6.9651742,0.0,33700.0
Hardin-Simmons University,10.526316,11.911357,6.371191,8.5872574,44.598339,14.958448,3.0470915,0.0,38600.0
Harding University,8.1196575,24.786325,11.253561,6.4102564,33.760685,10.96866,4.7008548,0.0,38600.0
Harford Community College,7.3593073,22.510822,17.532467,0.0,3.6796536,11.471861,35.930737,1.5151515,34100.0
Harper College,4.2243261,21.412964,14.712309,0.0,4.005827,4.5884924,44.719593,6.3364892,34600.0
Harrington College Of Design,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35000.0
Harris - Stowe State University,0.0,24.460432,0.71942449,0.0,71.942444,2.8776979,0.0,0.0,27900.0
Harrisburg Area Community College,12.363636,29.181818,15.454545,6.909091,12.727273,14.090909,5.818182,3.4545455,34000.0
